STT,Test Data Describe,Mô tả test case,Data Type,Question,VN Dich tham khao,Expected result (Context from file PDF),Expected result,"Actual result
(Top k 10, file database: 190 file)",VN,"Comments
1. Chất lượng Answer
2.Trích dẫn ",Result,Report Search Result,Journal Search Result,Manufacturing Search Result ,TYPE HỎI,,,
11,"20220422_resources_standard_guidelines_guidebook_01
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi về nội dung ,Data01,アジャイル開発実践ガイドブックには、アジャイル開発の本質は何ですか,"Sổ tay hướng dẫn thực hành phát triển linh hoạt nêu rằng ""Bản chất của phát triển linh hoạt là gì?""","アジャイル開発の本質は、経験したことに基づいて、その次の活動を最適化
していくところ（適応）にあります。この適応は、情報システム及びチームそ
のものにおいて行います。情報システムを開発し動かしてから可視化されるこ
とで判明することや改善点を次のスプリントプランニングに反映していきます。
また、チームとしても、スプリント・レトロスペクティブ（ふりかえり）を通
じて、開発の進め方についてのカイゼンを常に行いましょう。これらの適応を
両輪として、プロジェクトを進めていきましょう。
",アジャイル開発の本質は、経験したことに基づいて、その次の活動を最適化していくところ（適応）にあります,,,,,,,,1.Hỏi text,,,
12,"20240131_resources_standard_guidelines_guidelines_03
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi nội dung ,Data01,リアルタイムデータによるセキュリティ対策実施状況の効率的な報告によると、CRSA システムを導入した組織は、何を把握できますか,"Theo báo cáo hiệu quả tình hình thực hiện các biện pháp an ninh dựa trên dữ liệu thời gian thực, các tổ chứ đưa vào hệ thống CRSA có thể nắm được những thông tin gì",リアルタイムデータによるセキュリティ対策実施状況の効率的な報告CRSA システムを導入した組織は、リアルタイムな資産状態、アカウントの利用状況、インシデントの発生状況などを把握できる。これにより、サイバーセキュリティ対策状況を客観的かつ効率的に報告できるようになる。政府全体としては、各組織のサイバーセキュリティ対策状況を各組織に負担をかけることなく効率的に把握できるようになる。,CRSA システムを導入した組織は、リアルタイムな資産状態、アカウントの利用状況、インシデントの発生状況などを把握できる。,,,,,,,,1.Hỏi text,,,
13,"20240131_resources_standard_guidelines_guidelines_03
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi nội dung,Data01,CRSA システムは、特定の脅威情報やインシデントに関する情報をもとに、何を発生する可能性がありますか,Hệ thống CRSA dựa vào những thông tin liên quan tới bảo mật thông tin hay các thông tin đe dọa có thể phát hiện ra điều gì,"脅威やインシデントに対する政府横断的な脆弱箇所の迅速な発見と是正対
応
CRSA システムは、特定の脅威情報やインシデントに関する情報をもとに、
影響のある箇所やインシデントの発生する可能性のある箇所を政府横断的
に特定できるため、迅速かつ効果的に対処できるようになる。",CRSA システムは、特定の脅威情報やインシデントに関する情報をもとに、影響のある箇所やインシデントの発生する可能性のある箇所を政府横断的に特定できるため、迅速かつ効果的に対処できるようになる。,,,,,,,,1.Hỏi text,,,
14,"20240131_resources_standard_guidelines_guidelines_03
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi nội dung - thuật ngữ ASO SD chỉ có duy nhất trong 1 luận văn=> Model chắc chắn tìm ra,Data01,ASO システムは何により構成されますか,Hệ thống ASO được cấu tạo bởi những thành phần nào?,"ASO システム
ASO ダッシュボードとASO リポジトリにより構成される。ASO ダッ
シュボードは、データの可視化処理を担っており、府省庁担当者がア
クセスする。ASO リポジトリは、診断対象システムからのデータの収
集、GSO リポジトリとのデータの授受およびASO ダッシュボードに表
示するためのデータ処理を担う。ASO リポジトリは、診断対象システ
ムからの収集したデータを GSO リポジトリに転送するためのデータ
の統計処理も担っている。",ASO ダッシュボードとASO リポジトリにより構成される,,,,,,,,1.Hỏi text,,,
15,"20240131_resources_standard_guidelines_guidelines_03
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi theo bảng,Data01,常時リスク診断・対処(CRSA)のエンタープライズアーキテクチャ(EA)という研究論文の表 3-1 GSO のデータストアの構成によると、連携データの群は何と書いてありますか,"Theo bảng 3-1 ""Cấu trúc kho dữ liệu GSO"" trong luận văn nghiên cứu về Kiến trúc doanh nghiệp (EA) của hệ thống Chẩn đoán và Ứng phó Rủi ro Thường trực (CRSA), nhóm dữ liệu liên kết được ghi là gì?","表 3-1 GSO のデータストアの構成
No データ名 説明
1 マスターデータ 各府省庁の政府情報システムに関する基礎情報
や脆弱性に関する基礎情報等のマスターデータ

18
群

2 連携データ 各府省庁の政府情報システムから収集された診
断統計情報等、ASO システムから政府横断 GSO シ
ステムへ受け渡される連携データ群

3 スコアデータ 組織スコアやシステムスコア等のスコアデータ

群

4 外部データ セキュリティインシデントに係るデータや脆弱
性に関する情報等の外部から取り込まれたデー
タ群

5 ログデータ CRSA システムが記録するログデータ群","連携データ 各府省庁の政府情報システムから収集された診
断統計情報等、ASO システムから政府横断 GSO シ
ステムへ受け渡される連携データ群",,,,,,,,2.Hỏi bảng,,,
16,"20240131_resources_standard_guidelines_guidelines_03
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi theo bảng,Data01,常時リスク診断・対処(CRSA)のエンタープライズアーキテクチャ(EA)という研究論文の表 3-1 GSO のデータストアの構成によると、ログデータの群は何と書いてありますか,"Theo Bảng 3-1 “Cấu trúc kho dữ liệu GSO” trong luận văn nghiên cứu về Kiến trúc Doanh nghiệp (EA) của hệ thống Chẩn đoán và Ứng phó Rủi ro Thường trực (CRSA), nhóm dữ liệu log được ghi là gì?
","表 3-1 GSO のデータストアの構成
No データ名 説明
1 マスターデータ 各府省庁の政府情報システムに関する基礎情報
や脆弱性に関する基礎情報等のマスターデータ

18
群

2 連携データ 各府省庁の政府情報システムから収集された診
断統計情報等、ASO システムから政府横断 GSO シ
ステムへ受け渡される連携データ群

3 スコアデータ 組織スコアやシステムスコア等のスコアデータ

群

4 外部データ セキュリティインシデントに係るデータや脆弱
性に関する情報等の外部から取り込まれたデー
タ群

5 ログデータ CRSA システムが記録するログデータ群",5 ログデータ CRSA システムが記録するログデータ群,,,,,,,,2.Hỏi bảng,,,
17,"20240131_resources_standard_guidelines_guidelines_03
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi theo bảng,Data01,常時リスク診断・対処(CRSA)のエンタープライズアーキテクチャ(EA)という研究論文の表 3-2 ASO のデータストアの構成のマスターデータの説明は何ですか,"Trong Bảng 3-2 “Cấu trúc kho dữ liệu của ASO” thuộc luận văn nghiên cứu về Kiến trúc Doanh nghiệp (EA) của hệ thống Chẩn đoán và Ứng phó Rủi ro Thường trực (CRSA), phần mô tả về “dữ liệu chính” (master data) là gì?","表 3-2 ASO のデータストアの構成
No データ名 説明
1 マスターデータ 各府省庁の政府情報システムに関する基礎情報
や脆弱性に関する基礎情報等のマスターデータ
群

2 連携データ ASO システムから政府横断 GSO システムへ受け

渡す連携データ群

3 スコアデータ デバイススコアやシステムスコア等のスコアデ

ータ群

4 診断データ 各府省庁の政府情報システムから収集した診断

情報

5 ログデータ CRSA システムが記録するログデータ群","マスターデータ 各府省庁の政府情報システムに関する基礎情報
や脆弱性に関する基礎情報等のマスターデータ
群",,,,,,,,2.Hỏi bảng,,,
18,"20240131_resources_standard_guidelines_guidelines_03
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi nội dung ,Data01,CRSA システムは、何により、組織のネットワークとシステムのサイバーセキュリティを強化するための仕組みを提供しますか,Hệ thống CRSA cung cấp cơ chế tăng cường an ninh mạng cho hệ thống và mạng lưới của tổ chức bằng cách nào?,"CRSA システムは、組織の資産に関する情報を収集し、デバイスやソフトウェ
ア等のセキュリティ構成や脆弱性対応の適正化を支援することにより、組織の
ネットワークとシステムのサイバーセキュリティを強化するための仕組みを提
供する。また CRSA システムは、使用しているオペレーティングシステムにおい
て適切な修正プログラムが適用されているかどうか、組織が承認したソフトウ
ェアの完全性や承認されていないソフトウェアの存在、資産に既知の脆弱性が
あるかどうか等、接続要求を行う資産に関する情報をアクセス制御に適用する
役割を担っている。",CRSA システムは、組織の資産に関する情報を収集し、デバイスやソフトウェア等のセキュリティ構成や脆弱性対応の適正化を支援することにより、組織のネットワークとシステムのサイバーセキュリティを強化するための仕組みを提供する,,,,,,,,1.Hỏi text,,,
19,"20240329_resources_standard_guidelines_guideline_01
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi thuật ngữ - được đề cập trong pdf,Data01,CI/CD パイプラインにおけるセキュリティの留意点に関する技術レポートによると、CIの用語とは何ですか,"Theo báo cáo kỹ thuật về các cân nhắc bảo mật trong quy trình CI/CD, thuật ngữ CI là gì?","表 1-1 用語の定義
用語 意味
成果物 ソフトウェア開発・運用・保守業務の中で主に CI 等の過程
で生成されるファイルの総称である。次のようなものを含
む [1][2]。
- 実 行 形 式 の フ ァ イ ル 、 コ ン テ ナ イ メ ー ジ 、 IaC
(Infrastructure as Code)テンプレート及び実行手順
ファイル、ソースコードファイル、zip ファイル、tar フ
ァイル、設定ファイル、パッケージ等

CI Continuous Integration の略称である。ソースコードに対
する同時的な複数の変更を、継続的な検証によってソフト
ウェアの完全性を担保しながら自動的に取り込む考え方及
び手順を指す。その際に、動作確認をするテストや、ソー
スコードから成果物の生成も合わせて行う [3]。

CD Continuous Delivery の略である。ソースコードあるいはソ
ースコードを元にした成果物を実際に実行する環境に配送
(Delivery)する業務を、自動的かつ継続的に実施する手
順を指す [3]。似たような用語に、Continuous Deploy があ
るが、こちらは利用者に対するリリース及び提供を指す。","CI Continuous Integration の略称である。ソースコードに対
する同時的な複数の変更を、継続的な検証によってソフト
ウェアの完全性を担保しながら自動的に取り込む考え方及
び手順を指す。その際に、動作確認をするテストや、ソー
スコードから成果物の生成も合わせて行う [3]。",,,,,,,,1.Hỏi text,,,
20,"20240329_resources_standard_guidelines_guideline_01
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi về nội dung,Data01,CRSA は、何によって政府のシステムを予防的にセキュアにすることを目指していますか。,CRSA hướng tới mục tiêu bảo mật chủ động cho các hệ thống chính phủ như thế nào?,CRSA は、ポリシーからの逸脱を発見し、迅速かつ計画的にその是正を図ることによって政府のシステムを予防的にセキュアにすることを目指している。CRSA は、資産管理や脆弱性のみならず、クレデンシャルの管理状況、ネットワーク内の監視体制の健全性、データの保護の状況(例えば、許可されていないところにデータが保存されていないことなどを含む。)なども常時診断の対象としていくものである。,"CRSA は、ポリシーからの逸脱を発見し、迅速かつ計画的にその是正を図るこ
とによって政府のシステムを予防的にセキュアにすることを目指している。",,,,,,,,1.Hỏi text,,,
21,"8_080804
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi thuật ngữ - được đề cập trong pdf,Data01,シリコンバレーの概念とは何でしょうか？,Khái niệm Thung lũng Silicon là gì?,シリコンバレーとは、カリフォルニア州サンフランシスコの南に広がるハイテク・スタートアップが多く輩出される地域である。1938 年、スタンフォード大学の卒業生が起業した Hewlett-Packard をはじめ、1950 年代から 60 年代に半導体産業が誕生し、1970 年代から 80 年代には Apple や Oracle 等をはじめとする IT 産業が興隆し、さらに、1990 年以降 Netscape や Google というインターネット関連産業が成長したのは、資金提供をするベンチャーキャピタルの存在もあるが、優秀な起業人材に恵まれていたことが一番大きな要因だろう。,シリコンバレーとは、カリフォルニア州サンフランシスコの南に広がるハイテク・スタートアップが多く輩出される地域である。,,,,,,,,1.Hỏi text,,,
22,"8_080804
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi về thời gian - được đề cập trong pdf,Data01,"シリコンバレーのシリアル・アントレプレナーという論文研究において、何年から何年までに年までに米国で設立された売上高 100 万ドル以上の技術系企業 28,776社を対象にしましたか。","Trong luận án nghiên cứu ""Doanh nhân nối tiếp tại Thung lũng Silicon"", bạn đã xem xét 28.776 công ty công nghệ có doanh thu trên 1 triệu đô la được thành lập tại Hoa Kỳ vào những năm nào?","1995 年から 2005 年までに米国で設立された売上高 100 万ドル以上の技術系企業 28,776社を対象にしたDuke University (Master of Engineering Management Program, 2007) の調査によると、移民の起業家が起業活動に参画して新興産業の発展に大きな寄与をしていることがわかる。調査票を回収した 2,054 社のうち25.3%の企業は、主な創業者である CEOか CTO のどちらかが移民であった。この割合は、カリフォルニアでは 38.8%になり、ニュージャージーの 38%、ジョージアの 30%、マサチューセッツの 29%を押さえて全米で最も多い。カリフォルニアの中でもシリコンバレーでは、創業者の 52.4%が移民である。","1995 年から 2005 年までに米国で設立された売上高 100 万ドル以上の技術系企業 28,776
社を対象にした3",,,,,,,,1.Hỏi text,,,
23,"8_080804
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi về số liệu - được đề cập trong pdf,Data01,―半導体スタートアップのレポート―において、投資先の業種をみると、2006 年の内訳は、ソフトウェアは何％を占めますか,"Trong Báo cáo khởi nghiệp ngành bán dẫn, khi xem xét các lĩnh vực đầu tư, tỷ lệ phần trăm đầu tư vào phần mềm vào năm 2006 là bao nhiêu?",投資先の業種をみると、2006 年の内訳は、ソフトウェア 19.4%、バイオ 18.1%、通信14.2%、ヘルスケア 11.8%、半導体 10.5%、小売 9.2%、エネルギー関連 7.2%と続く。ほとんどがハイテク企業への投資であることがわかる。,投資先の業種をみると、2006 年の内訳は、ソフトウェア 19.4%です,,,,,,,,1.Hỏi text,,,
